Add tags:

<audio>	Defines sound content
<bdi>	Isolates a part of text that might be formatted in a different direction from other text outside it
<bdo>	Overrides the current text direction
<canvas>	Used to draw graphics, on the fly, via scripting (usually JavaScript)
<datalist>	Specifies a list of pre-defined options for input controls
<details>	Defines additional details that the user can view or hide
<dfn>	Represents the defining instance of a term
<dialog>	Defines a dialog box or window
<embed>	Defines a container for an external (non-HTML) application
<figcaption>	Defines a caption for a <figure> element
<figure>	Specifies self-contained content
<ins>	Defines a text that has been inserted into a document
<keygen>	Defines a key-pair generator field (for forms)
<legend>	Defines a caption for a <fieldset> element
<menu>	Defines a list/menu of commands
<menuitem>	Defines a command/menu item that the user can invoke from a popup menu
<meter>	Defines a scalar measurement within a known range (a gauge)
<output>	Defines the result of a calculation
<progress>	Represents the progress of a task
<rp>	Defines what to show in browsers that do not support ruby annotations
<rt>	Defines an explanation/pronunciation of characters (for East Asian typography)
<ruby>	Defines a ruby annotation (for East Asian typography)
<samp>	Defines sample output from a computer program
<source>	Defines multiple media resources for media elements (<video> and <audio>)
<summary>	Defines a visible heading for a <details> element
<time>	Defines a date/time
<var>	Defines a variable
<video>	Defines a video or movie
<wbr>	Defines a possible line-break
